code;name;street_adress;number_adress;district_adress;cep_adress;phone;id_zone_adress
44010;EM PARQUE ITARARE;RUA JORNALISTA ANTONIO DINIZ;2834;PARQUE IDEAL;64078670;8632157915;3
44011;EM ALTINA CASTELO BRANCO;RUA ADAO MEDEIROS SOARES;2945;PARQUE IDEAL;64078650;8632357706;3
44020;EM MOCAMBINHO;RUA LOURIVAL PEREIRA DA SILVA;6000;MOCAMBINHO;64010015;8632157965;2
44021;CMEI ADELAIDE FONTENELI;RUA PROFESSOR FERNANDO MARQUES;1251;PORENQUANTO;64002560;8632162632;2
44022;CMEI JOFFRE CASTELO BRANCO;ALAMEDA PARNAIBA;2171;MARQUES;64002475;86988053663;2
44023;CMEI JOAO MENDES OLIMPIO DE MELO;RUA FARMACEUTICO JOSE PEREIRA LOPES - LADO IMPAR;2845;RENASCENCA;64082250;8632346940;3
44024;CMEI DO MOCAMBINHO;AVENIDA JORNALISTA JOSIPIO LUSTOSA;33;MOCAMBINHO;64010465;8632241504;2
44027;CMEI ANITA FERRAZ;ALTO ALTOS;5185;ALTO ALEGRE;64008100;8632256254;2
44029;CMEI TIA MONICA;RUA PRESIDENTE LINCOLN;4792;SAO JOAQUIM;64004270;8632162187;2
44032;CMEI ABC;RUA BRANCA;3760;SATELITE;64059410;8632345543;1
44033;CMEI DANIELZINHO;RUA MELVIN JONES;4181;PICARREIRA;64055420;8632332690;1
44034;CMEI TIA ZORAIDE ALMEIDA;RUA MONSENHOR CICERO PORTELA;3055;PICARREIRA II;64056600;8632311608;1
44035;CMEI TIA ERINELDA VEIGA;RUA BENEDITO DA SILVEIRA;2824;PLANALTO;64050240;8632320419;1
44036;CMEI EMERSON DE JESUS SILVA;RUA FILOMENA LAGES DE CARVALHO;1091;ITARARE;64077125;8632354824;3
44037;CMEI HELENA MARIA RODRIGUES DE CARVALHO;RUA JOSE MARQUES DA ROCHA;2361;ITAPERU;64007838;8632166216;2
44038;EM PARQUE PIAUI;AVENIDA HENRY WALL DE CARVALHO;S/N;TRIUNFO;64022050;8632157962;4
44039;CMEI PEDRO MENDES RIBEIRO;RUA GABRIEL FERREIRA ZONA SUL;1966;CENTRO;64001250;8632295687;4
44040;CMEI PROFESSORA ANTONIA NONATO;RUA ESCRAVA ESPERANCA GARCIA;1260;ILHOTAS;64014080;8632217918;4
44042;CMEI PRESIDENTE COSTA E SILVA;RUA IV CONJUNTO MONTE CASTELO 2051;2051;REDENCAO;64017810;86999548761;4
44043;CMEI PROFESSORA MARIA DO CARMO NUNES;RUA ENGRAXATE GIL OLIVEIRA;1345;PARQUE PIAUI;64025550;8632202952;4
44044;CMEI LUIZ GONZAGA PIRES;RUA DEPUTADO EDSON DIAS FERREIRA;3199;BELA VISTA;64030450;8632211220;4
44045;CMEI TIA FRANCISQUINHA;RUA DOMINGOS ALVES DE HOLANDA;3470;SANTA CRUZ;64028770;8632118235;4
44046;CMEI RENATINHA;AVENIDA DEPUTADO ULISSES GUIMARAES - LADO IMPAR;2121;PROMORAR;64027330;8632118480;4
